NewDepot -1 5.0,5.0 5
NewVehicle -1 9.586596245046971,0.16999866687968712 1 10
NewVehicle -1 7.067572672888104,7.932875242702534 1 10
NewVehicle -1 0.3735645043189595,3.092657495731456 1 10
NewVehicle -1 0.40713068795099505,7.678838159167332 1 10
NewVehicle -1 5.81966338253811,9.77410586973465 1 10
NewParcel 4673073554 3.3933358918482828,5.876313423544514 3.500111258489248,2.1551882994451876 0 1 4673080713/4673086394=4673364189/4673369870
NewParcel 4673919111 9.429621688623822,8.550578209600783 0.45069669370459975,1.0206968376260517 0 1 4673928752/4673929469=4674154051/4674154768
NewParcel 4674643025 9.545365425530418,5.505984951376615 6.444531938707434,7.236614740942154 0 1 4674651338/4674654711=4674941039/4674944412
NewParcel 4675401402 3.2703023127272823,8.0318133075702 2.2313679027241884,2.419025353823989 0 1 4675404356/4675418447=4675631449/4675645540
NewParcel 4676181852 4.591641877635562,5.0259737200250845 1.4995537792059432,2.986630367039378 0 1 4676183445/4676200258=4676470477/4676487290
NewParcel 4676883348 9.655037391106667,6.074164645253791 6.829111044410551,5.101631176858175 0 1 4676890120/4676896575=4677182843/4677189298
NewParcel 4677692565 2.722998431044754,0.6233887997390875 7.115143680186458,8.058486842992078 0 1 4677698415/4677706714=4677949829/4677958128
NewParcel 4678379170 6.679814678985832,3.601394470262301 3.3756473241029283,2.097109974753507 0 1 4678382919/4678395420=4678658986/4678671487
NewParcel 4679077076 6.8720498436688935,0.33360022915714715 2.3577823224985006,9.117064743350976 0 1 4679081111/4679093040=4679299833/4679311762
NewParcel 4679913180 9.573669113235741,6.1090682861745975 9.856669291773073,7.269326189096565 0 1 4679914919/4679931440=4680155827/4680172348
NewParcel 4680689670 8.864864320007126,8.247088169618536 8.160771492943205,2.9021680761809865 0 1 4680698488/4680700851=4680970018/4680972381
NewParcel 4681520484 8.21363671769901,1.015933062711284 4.537928510744685,5.837737346204726 0 1 4681521128/4681539839=4681748717/4681767428
NewParcel 4682267059 5.549200288427857,6.255352201482308 0.1760996563432904,6.455880262452394 0 1 4682276492/4682277625=4682574640/4682575773
NewParcel 4683013029 3.1162710673041936,5.0543597974939996 1.492883447582939,5.561781797871656 0 1 4683021022/4683025035=4683237951/4683241964
NewParcel 4683862061 5.899301304144059,8.3358856053314 8.227873001442452,0.5139814960987144 0 1 4683866783/4683877338=4684140705/4684151260
NewParcel 4684637556 4.905721789429166,6.699847821687203 5.231911680973411,3.5893272839859183 0 1 4684645769/4684649342=4684887181/4684890754
NewParcel 4685407467 4.097257646050538,2.3762108282656436 7.367308756884471,1.0614305394792733 0 1 4685414866/4685420067=4685629668/4685634869
NewParcel 4686152021 2.2583753260310058,8.639591520074697 9.433083076829137,3.969184563853668 0 1 4686152643/4686171398=4686446276/4686465031
NewParcel 4686936659 3.590928125418049,4.536976656824376 5.529289063638531,4.051908346543308 0 1 4686941177/4686952140=4687194355/4687205318
NewParcel 4687647049 3.324058776106278,5.280110285134759 4.774496686340628,0.8276808263131885 0 1 4687648182/4687665915=4687930200/4687947933
NewParcel 4688487541 7.128424714147475,1.1541201512766797 2.790479650701694,8.291423588201392 0 1 4688496697/4688498384=4688782671/4688784358
NewParcel 4689238985 5.623805998917816,0.29393954444549397 0.8681798023469189,2.2092981685535165 0 1 4689241650/4689256319=4689525451/4689540120
NewParcel 4689916346 7.769160365113093,3.180089541483131 7.22900921625916,1.485980601444813 0 1 4689924650/4689928041=4690169667/4690173058
NewParcel 4690761096 9.424186350517049,9.205385618135251 7.295548950510229,9.58137215174813 0 1 4690770358/4690771833=4691015634/4691017109
NewParcel 4691447879 5.871458608984607,8.164128605869724 2.385713016075254,4.45331207189292 0 1 4691449853/4691465904=4691689517/4691705568
NewParcel 4692179495 9.588195830044462,2.01534299076777 8.744434230904542,8.00285453132306 0 1 4692188428/4692190561=4692467735/4692469868
NewParcel 4692988761 7.056725747091842,4.7716266313332865 1.3269376043770353,8.498670414798118 0 1 4692997273/4693000248=4693218970/4693221945
NewParcel 4693660350 0.902709667232694,0.8651728800749792 9.24766484934975,1.9571381502026153 0 1 4693660546/4693680153=4693870651/4693890258
NewParcel 4694430239 6.150186161872691,4.84252791910809 2.30890814284089,0.9546852305833264 0 1 4694431361/4694449116=4694653849/4694671604
NewParcel 4695214929 1.8825004489316233,7.739645710240652 0.5232197872990596,1.8489436225037537 0 1 4695222259/4695227598=4695437535/4695442874
NewParcel 4695967117 2.0981793292940534,7.988804934413017 1.0436590972459359,3.885280799941607 0 1 4695967723/4695986510=4696180147/4696198934
NewParcel 4696649062 2.050815004627072,7.208945776101387 9.415937277286154,6.1652696703241965 0 1 4696658408/4696659715=4696873537/4696874844
NewParcel 4697459379 8.862019799844441,3.7309950253734483 4.5665264591491255,0.9536581633521413 0 1 4697468685/4697470072=4697701282/4697702669
NewParcel 4698143565 7.6965159369118314,9.209736980677807 9.440790161983703,4.300404654932709 0 1 4698151229/4698155900=4698410478/4698415149
NewParcel 4698863059 7.288419775569215,6.173796762410159 1.705203653250379,7.454337091146753 0 1 4698864329/4698881788=4699113093/4699130552
NewParcel 4699592197 1.1077860832754427,6.865293445832109 1.4277215489377304,5.045001910064766 0 1 4699599699/4699604694=4699860041/4699865036
NewParcel 4700356928 2.9564733145729893,6.220732231088757 5.1503586717562,8.509263383050836 0 1 4700360541/4700373314=4700638116/4700650889
NewParcel 4701023714 8.282393152497923,4.344690749221003 8.268044113739153,5.739216567643595 0 1 4701031688/4701035739=4701257025/4701261076
NewParcel 4701791551 5.00120447266919,6.327869392470944 0.12781370234042355,0.427976505309684 0 1 4701795656/4701807445=4702030710/4702042499
NewParcel 4702634577 0.1145193785248444,9.761060842282086 8.76240089096408,7.089905291536932 0 1 4702640480/4702648673=4702874245/4702882438
NewParcel 4703287288 0.9136767744735419,2.796608161752144 4.6722891123472845,0.2318406201382428 0 1 4703297244/4703297331=4703554605/4703554692
NewParcel 4703958879 2.0581529880740614,8.108908190562063 5.570290309597717,8.651888397808833 0 1 4703967221/4703970536=4704180609/4704183924
NewParcel 4704807791 2.31766572757504,0.6055275974822549 6.502707840429077,8.342339231011751 0 1 4704810612/4704824969=4705054420/4705068777
NewParcel 4705502055 7.267040215375442,9.240489595078413 2.261151524134155,9.973275330042025 0 1 4705510860/4705513249=4705773969/4705776358
NewParcel 4706335565 6.722893262197304,5.78129770314241 1.4990628033216002,9.433428749931442 0 1 4706340580/4706350549=4706612730/4706622699
NewParcel 4707164938 8.211203302967396,5.881256428115783 4.46701443719458,2.4048505840043664 0 1 4707167152/4707182723=4707440292/4707455863
NewParcel 4707876158 0.25482551196063463,0.30865219029327484 8.780847988309677,6.447959107798181 0 1 4707878089/4707894226=4708114221/4708130358
NewParcel 4708584719 1.770017559510264,6.68435816587004 0.136709868809769,6.573524477501961 0 1 4708588269/4708601168=4708880703/4708893602
NewParcel 4709317533 6.361033116180902,4.579423618905164 7.38705002763305,2.7781543298424904 0 1 4709323216/4709331849=4709578526/4709587159
NewParcel 4710119376 2.8018535095868433,9.324210570701233 3.8916442682093932,0.5198448166112135 0 1 4710124595/4710134156=4710417982/4710427543
NewParcel 4710771197 5.494112330071733,2.3806421814687093 9.557704054628784,7.610154938756062 0 1 4710776141/4710786252=4710983273/4710993384
NewParcel 4711602137 1.1902801866823487,8.629123382094871 0.4831359133801061,3.4995717679698224 0 1 4711610268/4711614005=4711894074/4711897811
NewParcel 4712421635 0.7711708916577154,3.4216962682409093 5.617011829953419,9.432624793228019 0 1 4712427643/4712435626=4712658930/4712666913
NewParcel 4713192533 7.3668309849540945,4.7529938493250015 2.3513144610375534,0.44931511756281517 0 1 4713194018/4713211047=4713410154/4713427183
NewParcel 4713910625 4.609875441648952,8.400554739120752 5.458020424251303,2.7094193071478423 0 1 4713910682/4713930567=4714167003/4714186888
NewParcel 4714650615 1.3103324423199603,6.386059921837214 6.285581090297487,2.116233692486248 0 1 4714656881/4714664348=4714900844/4714908311
NewParcel 4715482996 1.3410602727595555,1.609054254915706 1.6288665981697625,2.7163167631085283 0 1 4715484632/4715501359=4715783149/4715799876
NewParcel 4716160885 0.022795880359807175,4.004717940228951 4.186633635888546,5.851798063275621 0 1 4716168344/4716173425=4716444113/4716449194
NewParcel 4716920374 0.7979013572778093,6.077245782040377 9.020580695739174,3.541811006576414 0 1 4716923724/4716937023=4717206761/4717220060
NewParcel 4717632507 8.481869740361487,8.160401773089074 2.9300521660525147,2.06961496217711 0 1 4717642469/4717642544=4717918439/4717918514
NewParcel 4718289499 7.881649766929295,6.256806305617629 6.1564548939953525,4.251968128430903 0 1 4718291255/4718307742=4718528593/4718545080
NewParcel 4719002368 9.069857011353989,7.80752421926056 8.331448655916581,1.3673142369254676 0 1 4719005593/4719019142=4719268794/4719282343
NewParcel 4719731667 3.1039296259336266,3.243511057116396 3.0829736481758663,8.219344677182475 0 1 4719741148/4719742185=4719947993/4719949030
NewParcel 4720467540 4.4792936523084,3.670482538171469 8.213177701599527,7.312499159592471 0 1 4720477125/4720477954=4720733007/4720733836
NewParcel 4721119858 9.10559843658641,7.53877020533389 0.8623055129264257,0.615968220432862 0 1 4721128398/4721131317=4721371296/4721374215
NewParcel 4721773717 9.095088381035714,1.6497240104148658 9.5726111807783,9.89275792983752 0 1 4721775040/4721792393=4721990082/4722007435
NewParcel 4722610118 8.152168063732873,4.350226061914503 7.6663592452437666,9.070381671187684 0 1 4722619992/4722620243=4722832945/4722833196
NewParcel 4723286178 3.853228076612405,1.2668763714550746 4.851973655965287,4.62973912927524 0 1 4723287606/4723304749=4723522011/4723539154
NewParcel 4724113747 5.605791221010587,6.431414452189878 6.4724006873821605,2.4887481752719234 0 1 4724117838/4724129655=4724400903/4724412720
NewParcel 4724769848 9.576042909375134,4.148938871629326 2.3097427673272684,2.357288221233622 0 1 4724772915/4724786780=4725000670/4725014535
NewParcel 4725516872 4.3738078709258,9.460487196602125 9.360233633473191,3.0400206576675037 0 1 4725525292/4725528451=4725747910/4725751069
NewParcel 4726205015 3.784035147292265,7.551537762240907 5.49360887809895,4.663647852617551 0 1 4726207793/4726222236=4726471345/4726485788
NewParcel 4726873948 5.333855189547899,4.957998459424982 3.410942072155615,6.305171929953728 0 1 4726878830/4726889065=4727160168/4727170403
NewParcel 4727565265 5.984270223101904,7.921242109924474 6.815000901631053,9.997719499186102 0 1 4727567627/4727582902=4727864449/4727879724
NewParcel 4728401769 8.735540425269724,5.743752357079732 3.2071953698371947,4.5904885626001555 0 1 4728406431/4728417106=4728694990/4728705665
NewParcel 4729084201 6.435330285733867,9.496943441056441 0.2251707849865614,5.439388614911994 0 1 4729088691/4729099710=4729336999/4729348018
NewParcel 4729900535 1.578674788988611,8.932713688690999 4.935116171071127,8.404926808478429 0 1 4729904237/4729916832=4730128996/4730141591
NewParcel 4730737504 3.3888306085446054,2.9502982476349073 7.9928440251599,9.133912018824486 0 1 4730744528/4730750479=4731025422/4731031373
NewParcel 4731428547 5.96807202649263,1.4699812673418167 7.087710345494775,1.1015309501220527 0 1 4731433042/4731444051=4731648407/4731659416
NewParcel 4732266901 3.8074978857896236,9.065231790007262 6.583430480972,8.390366699771864 0 1 4732267947/4732285854=4732491232/4732509139
NewParcel 4733057090 3.444907277209489,3.2048236285105225 2.7698599499062193,1.6829141452399676 0 1 4733066189/4733067990=4733363007/4733364808
NewParcel 4733872603 2.5598113859088545,2.4565049100789684 6.639798088344452,8.444162795818325 0 1 4733880200/4733885005=4734171161/4734175966
NewParcel 4734532067 0.2946400191141907,2.503776594148844 8.604878236903104,0.7708022920245017 0 1 4734540422/4734543711=4734845330/4734848619
NewParcel 4735300776 5.091207036130793,0.3273442275325511 2.0646094044469443,6.883618289583683 0 1 4735308907/4735312644=4735563295/4735567032
NewParcel 4736068944 8.831498492092244,9.402804704057944 5.242627231624476,4.739639349631837 0 1 4736071266/4736086621=4736306635/4736321990
NewParcel 4736852603 8.571842724761881,1.2661326643187731 3.2042209062121785,8.74059609007811 0 1 4736856277/4736868928=4737160783/4737173434
NewParcel 4737507575 9.659527760426801,1.2985239068592092 4.469197653078144,3.014256870549766 0 1 4737514491/4737520658=4737741240/4737747407
NewParcel 4738241506 6.520927428864304,9.082165438320583 9.134144074642789,7.245203128502936 0 1 4738249206/4738253805=4738514677/4738519276
NewParcel 4739053456 9.910198657694881,6.178487373204935 7.918152595663916,3.5316037960450553 0 1 4739055223/4739071688=4739270759/4739287224
NewParcel 4739825084 1.9076124536887151,6.680465491219575 4.046069382497347,5.244553777697451 0 1 4739832797/4739837370=4740137467/4740142040
NewParcel 4740631993 2.4565811158456166,8.390533164630206 2.3833314691197947,1.3665401654748721 0 1 4740636273/4740647712=4740849827/4740861266
NewParcel 4741338338 3.7284447093560367,4.975664236523595 2.73645236579159,2.285593497412397 0 1 4741338882/4741357793=4741628881/4741647792
NewParcel 4742082320 1.1040780786643278,1.9511954716795066 6.733218592733728,5.521693621875222 0 1 4742087237/4742097402=4742344862/4742355027
NewParcel 4742854732 2.061382546329009,1.8449421888317141 0.19666319472519622,2.3619865052062505 0 1 4742861087/4742868376=4743105494/4743112783
NewParcel 4743617248 6.7577235013954,6.393177856686129 5.426873091059595,8.8813777452509 0 1 4743625922/4743628573=4743907419/4743910070
NewParcel 4744301670 6.596375714295398,6.120034317213906 0.3046981794121628,7.325065461307545 0 1 4744308029/4744315310=4744555735/4744563016
NewParcel 4744975904 9.566042126843914,0.15188857571020842 3.6314210597129595,6.329572437084364 0 1 4744983691/4744988116=4745243725/4745248150
NewParcel 4745656934 3.6425046015854825,1.618296322909345 8.618452539862547,0.9588435399722439 0 1 4745666178/4745667689=4745901824/4745903335
NewParcel 4746495619 2.041471708508309,6.491038054141162 8.941111565868455,6.03196792068549 0 1 4746496257/4746514980=4746771934/4746790657
NewParcel 4747152661 6.61168508811731,6.212834300034924 4.2705580910000585,8.719089557888434 0 1 4747153977/4747171344=4747400235/4747417602
NewParcel 4747929623 8.157347606238268,6.967300825644541 4.697934024767273,8.88207019671379 0 1 4747931493/4747947752=4748188656/4748204915
NewParcel 4748613406 4.9789346160272085,0.941696959740127 5.964781893907787,8.1364644459948 0 1 4748618750/4748628061=4748882205/4748891516
NewParcel 4749437127 3.4214511700281456,7.434038134657168 9.913797920810165,1.111370561576347 0 1 4749445851/4749448402=4749686373/4749688924
NewParcel 4750254873 6.719199999526139,4.156129002197924 7.073986692865928,4.883721523404468 0 1 4750258000/4750271745=4750465911/4750479656
NewParcel 4750972334 0.9261182611614283,1.5840832140873484 0.7942761398347165,5.063574941870477 0 1 4750980909/4750983758=4751283233/4751286082
NewParcel 4751669853 9.220749730696763,5.707889436227822 4.839656788966002,9.506968412765842 0 1 4751676612/4751683093=4751901806/4751908287
NewParcel 4752498954 8.374912306548802,7.031589759760774 8.863909602896866,3.132899079841469 0 1 4752501641/4752516266=4752716847/4752731472
NewParcel 4753327953 3.6751260873654212,6.1756297056504454 8.672982123238395,9.82099245970562 0 1 4753331570/4753344335=4753552743/4753565508
NewParcel 4754056778 1.0858595765798162,8.932942931059872 0.693075660248289,9.866422938838598 0 1 4754057952/4754075603=4754333604/4754351255
NewParcel 4754715661 7.943663078019308,6.130336167227793 2.557508988449273,3.9686464526042697 0 1 4754715711/4754735610=4755010394/4755030293
NewParcel 4755506886 5.971245717912699,6.146731611157913 4.226417339783209,7.230510214728136 0 1 4755511063/4755522708=4755765114/4755776759
NewParcel 4756243329 2.9005632947288964,0.43983461050922545 6.553351036573395,9.144299932616246 0 1 4756252116/4756254541=4756469579/4756472004
NewParcel 4756982034 1.4939758508822731,4.932784832574279 6.712836802715904,8.041288855444002 0 1 4756986279/4756997788=4757203291/4757214800
NewParcel 4757645614 7.252540007069106,2.61235674507734 2.4029625935995536,0.9813503569878546 0 1 4757650666/4757660561=4757862020/4757871915
NewParcel 4758468796 8.600497262950524,5.190269611336102 9.237049951750853,2.559195047367673 0 1 4758473730/4758483861=4758745676/4758755807
NewParcel 4759201956 5.835020846254749,4.179170219815681 8.238475548267367,8.603798362503722 0 1 4759208345/4759215566=4759481115/4759488336
NewParcel 4759948020 7.630284325670779,4.234851456344966 2.852704650437147,3.2475779118225088 0 1 4759948634/4759967405=4760232549/4760251320
NewParcel 4760703652 6.384913601030857,4.116269268471843 7.3905985481367145,0.34188452135864744 0 1 4760704850/4760722453=4760999270/4761016873
NewParcel 4761520156 6.201885113624835,3.1149180754892902 1.317060393038757,2.6953694565366773 0 1 4761522639/4761537672=4761737388/4761752421
NewParcel 4762294081 9.78993419982373,3.3051308243933564 6.299077981449165,5.11178960111161 0 1 4762295068/4762313093=4762529383/4762547408
NewParcel 4763142022 3.075532035013074,0.4668641178340649 5.42723113855422,9.703814641174054 0 1 4763147822/4763156221=4763382245/4763390644
NewParcel 4763908654 8.814499337844282,9.032530069466075 6.524721713356897,4.459396168053557 0 1 4763909983/4763927324=4764192009/4764209350
NewParcel 4764601575 2.9923138661942983,8.909440304649163 3.9579909363567065,8.537265058705984 0 1 4764604897/4764618252=4764859600/4764872955
NewParcel 4765441042 0.3021786082430866,4.529420558155673 5.862986396082944,0.26811399268055425 0 1 4765447574/4765454509=4765719787/4765726722
NewParcel 4766157242 7.489910456774017,8.977163149480159 6.201140778832549,6.338034668001974 0 1 4766167199/4766167284=4766402258/4766402343
NewParcel 4766962251 5.85471202327578,8.548875414879369 3.5591252982747545,3.130766053522672 0 1 4766965272/4766979229=4767260690/4767274647
NewParcel 4767668376 6.694890775793439,5.592788918046128 1.10643943773303,3.7053189932496378 0 1 4767671998/4767684753=4767882840/4767895595
NewParcel 4768319102 5.98758703952016,9.98309251043433 4.624900751370378,6.385539982205963 0 1 4768325529/4768332674=4768581656/4768588801
NewParcel 4769043400 7.091571989339178,2.0788487732263725 8.024095974559483,3.438175182500677 0 1 4769050718/4769056081=4769344442/4769349805
NewParcel 4769838679 2.762180973103651,2.519460860767899 8.256857115157938,0.8159986167540423 0 1 4769846073/4769851284=4770074168/4770079379
NewParcel 4770632202 0.2674420282652634,6.708246967781264 4.048824595533925,2.4425659800809463 0 1 4770639616/4770644787=4770934022/4770939193
NewParcel 4771465311 5.894463813052127,4.335690259746431 5.356158211336136,5.015155996122779 0 1 4771466404/4771484217=4771723339/4771741152
NewParcel 4772189343 7.635144826463609,6.793921861289728 2.965462819730713,1.802465303184616 0 1 4772192483/4772206202=4772410079/4772423798
NewParcel 4772856648 7.340265232556212,7.8340030283356565 0.14998527626804092,6.41361350605586 0 1 4772862089/4772871206=4773122064/4773131181
NewParcel 4773634644 6.1310271120958335,5.3175680476698854 0.7961513957473088,0.015027285297586346 0 1 4773636933/4773652354=4773916179/4773931600
NewParcel 4774365394 9.35710184934733,4.414388401733186 0.914499083712681,7.971760423092186 0 1 4774368438/4774382349=4774641822/4774655733
NewParcel 4775037702 9.890249061466417,5.097423840113754 2.9490767864779888,4.389816774793383 0 1 4775045844/4775049559=4775341897/4775345612
NewParcel 4775833258 1.0425695780608912,9.28691992698221 4.799363331807989,5.5360353549522054 0 1 4775835096/4775851419=4776131650/4776147973
NewParcel 4776652916 2.8984556117875524,5.495117333407686 7.968776892542792,5.612102704311855 0 1 4776655502/4776670329=4776952738/4776967565
NewParcel 4777323685 8.349296976767292,1.3231334123747795 1.7538317529967051,0.8592519300644541 0 1 4777333135/4777334234=4777616891/4777617990
NewParcel 4778031572 7.620012232631782,6.661578419713331 2.888008300738126,0.4702147034497062 0 1 4778032028/4778051115=4778240599/4778259686
NewParcel 4778719938 2.5764604072345976,2.946470867568528 2.554396339192022,5.284985085447822 0 1 4778726203/4778733672=4778959266/4778966735
NewParcel 4779437552 4.602801654299542,6.322011765920111 5.181176324107777,7.746960645082864 0 1 4779437638/4779457465=4779696325/4779716152
NewParcel 4780115078 2.3378642126725557,5.061783207353616 5.933998991862972,9.096021007687574 0 1 4780117285/4780132870=4780339810/4780355395
NewParcel 4780793233 8.059584756851276,4.099931572133096 6.319328057151694,2.2751081800587425 0 1 4780798297/4780808168=4781055939/4781065810
NewParcel 4781520419 4.006580772057331,2.0238982010750597 9.812805926487279,1.526869758429662 0 1 4781522645/4781538192=4781766276/4781781823
NewParcel 4782182134 2.4259210749499482,8.380261017022692 1.9267074775971205,2.156928248601636 0 1 4782184342/4782199925=4782482092/4782497675
NewParcel 4783019014 5.636153932809846,1.6452491228562538 1.6305432667497766,6.440339466806231 0 1 4783024518/4783033509=4783306535/4783315526
NewParcel 4783734884 4.894655698542303,0.7114918451819785 3.538873265284277,4.147800791948653 0 1 4783735628/4783754139=4783962310/4783980821
NewParcel 4784490734 9.358365896333527,5.242567008350131 2.7803967342128013,8.668173951437465 0 1 4784494098/4784507369=4784789546/4784802817
NewParcel 4785325053 8.926965342315686,2.7469080452994454 6.962378071567937,2.203883185756843 0 1 4785332754/4785337351=4785575586/4785580183
NewParcel 4786035503 7.257565842777932,2.7226352514192467 2.1444725277321455,6.015752058376252 0 1 4786036398/4786054607=4786275467/4786293676
NewParcel 4786701430 3.739968575819441,0.724871458478693 2.236012741007741,4.193841320775703 0 1 4786705943/4786716916=4786968884/4786979857
NewParcel 4787421254 5.721559922499204,7.707106317227385 3.7308215532869307,1.9308501306059545 0 1 4787428538/4787433969=4787716455/4787721886
NewParcel 4788083300 4.770898500617324,2.4881698382458017 0.19360989741183499,1.7746429582560364 0 1 4788093137/4788093462=4788305139/4788305464
NewParcel 4788883169 3.2690661159902645,7.69638049723688 3.412025588613099,3.8364663424926104 0 1 4788893032/4788893305=4789099726/4789099999
NewParcel 4789645282 0.1178367568838612,2.0424272877385263 0.6284129292040785,8.431414179659033 0 1 4789648854/4789661709=4789934267/4789947122
NewParcel 4790400754 6.853730013472998,4.272549164803219 9.76534679825083,2.127708910848314 0 1 4790407619/4790413888=4790624440/4790630709
NewParcel 4791118292 7.957011914182694,6.653577595617967 7.059005084202638,0.6813569190087976 0 1 4791125396/4791131187=4791358803/4791364594
NewParcel 4791779335 1.6447030787743777,8.341398135524429 4.01443828932589,4.8327440847864445 0 1 4791783226/4791795443=4791993963/4792006180
NewParcel 4792533199 9.936658744654022,1.4844003961969132 3.096802920640871,7.4417306326263954 0 1 4792537946/4792548451=4792755692/4792766197
NewParcel 4793262508 9.283783621003941,5.413474336094848 4.0726186137913665,2.937810247362256 0 1 4793271595/4793273420=4793535077/4793536902
NewParcel 4793933725 5.547440688291134,6.770118142128099 5.415111357715709,2.5618954985421705 0 1 4793935127/4793952322=4794225802/4794242997
NewParcel 4794602135 9.619121293596473,5.924216452215583 7.687708056461395,1.3762911999588756 0 1 4794604166/4794620103=4794895700/4794911637
NewParcel 4795285161 2.4694346907421716,2.53305768944847 8.319740996215772,5.519418561196683 0 1 4795286592/4795303729=4795532744/4795549881
NewParcel 4796112420 0.9154823640050891,5.59314560675389 9.688427826423984,0.6818537703193106 0 1 4796113759/4796131080=4796322678/4796339999
NewParcel 4796805460 7.895678488142907,5.836373291229812 4.921188528793089,5.2802418528547745 0 1 4796809192/4796821727=4797102522/4797115057
NewParcel 4797634656 3.541078808782754,0.8221200169592413 8.332360885234216,4.305648328614166 0 1 4797640625/4797648686=4797871203/4797879264
NewParcel 4798345266 5.832281009532808,5.576832117422823 9.908379420314557,2.3229137583314587 0 1 4798353299/4798357232=4798655618/4798659551
NewParcel 4799139181 2.1309590733838757,4.132652662160563 5.755476423544614,6.597569603841852 0 1 4799144428/4799153933=4799417438/4799426943
NewParcel 4799843442 5.375093885197635,9.816661928365606 8.923972932798952,3.826882058407717 0 1 4799850835/4799856048=4800123035/4800128248
NewParcel 4800691117 1.2269620613078747,4.642289801276297 7.5232161235274955,6.451582345415453 0 1 4800693714/4800708519=4800995886/4801010691
NewParcel 4801484665 4.962946966664972,0.6544630626249492 9.541230314503347,7.0248502165581295 0 1 4801486580/4801502749=4801757898/4801774067
NewParcel 4802306459 9.394232787962833,8.580052947840473 6.283142430606751,1.615108477174978 0 1 4802314445/4802318472=4802593096/4802597123
NewParcel 4802985644 7.607445548672746,1.635180045304625 8.842443992490555,5.7191956423916235 0 1 4802994317/4802996970=4803294146/4803296799
NewParcel 4803825067 6.814301561894349,4.8409439300157855 4.519151740225475,8.662476116354044 0 1 4803829146/4803840987=4804079241/4804091082
NewParcel 4804636526 2.099329665639732,2.6991378087096973 2.5989315684737457,4.9624509003808415 0 1 4804639367/4804653684=4804863885/4804878202
NewParcel 4805327124 1.3547243836996314,0.5795108749252786 1.4072460176443247,3.632432767180952 0 1 4805328225/4805346022=4805569143/4805586940
NewParcel 4806124051 5.191397623306435,7.670140513710093 1.0525894770375588,8.901846597281404 0 1 4806129096/4806139005=4806364980/4806374889
NewParcel 4806819632 8.115287319341638,1.8424783210523155 8.772871120915077,8.32971918734129 0 1 4806825051/4806834212=4807114311/4807123472
NewParcel 4807563027 9.757989518715403,9.282630960146653 6.299012043182826,6.787918257921065 0 1 4807572943/4807573110=4807850432/4807850599
NewParcel 4808319497 7.4507720911484405,4.240438851005608 1.1498145999662002,7.290707280063334 0 1 4808326322/4808332671=4808607546/4808613895
NewParcel 4809162669 3.9310360384431977,6.747914982122234 6.272170798294267,2.147173985609098 0 1 4809163527/4809181810=4809461097/4809479380
NewParcel 4809859777 6.470285196177818,8.658607362236408 4.9406678146778225,0.4130989570881871 0 1 4809869311/4809870242=4810101682/4810102613
NewParcel 4810554387 6.2126667981369526,0.8594459853004699 0.3306575563040526,0.11882521684590697 0 1 4810560416/4810568357=4810833335/4810841276
NewParcel 4811345639 9.013147944243839,7.006638199225268 1.6788493172080743,6.2496894742975595 0 1 4811347535/4811363742=4811614017/4811630224
NewParcel 4812007567 1.5643839603025977,1.6371740220547315 1.4454893874060526,7.955581687919936 0 1 4812008097/4812027036=4812263131/4812282070
NewParcel 4812786609 9.101351215401573,3.007504625597738 0.3921915102275375,0.9661911421798342 0 1 4812796423/4812796794=4813038012/4813038383
NewParcel 4813559920 3.472796287467345,3.5109556046712065 9.989476457896306,3.6885051744680553 0 1 4813569723/4813570116=4813858245/4813858638
NewParcel 4814231661 2.8685715841286274,3.0254398166051266 4.068089463474726,7.963120614884101 0 1 4814240539/4814242782=4814513804/4814516047
NewParcel 4814888952 6.991916983477711,3.043027609367331 4.128151916575778,7.95592997612066 0 1 4814898198/4814899705=4815149979/4815151486
NewParcel 4815733709 3.9657490337209556,1.9329427247316022 5.220213155231307,3.1617493853331102 0 1 4815733909/4815753508=4816039097/4816058696
NewParcel 4816551125 7.7620233112763115,4.189542365399185 1.8122647962909444,3.9964429191682926 0 1 4816556156/4816566093=4816826100/4816836037
NewParcel 4817270076 7.443228570582903,9.016844124561846 5.556779636944165,0.9541153257267898 0 1 4817275053/4817285098=4817552017/4817562062
NewParcel 4818015270 2.0050789557329196,6.101165940914565 9.37183555808313,0.8059265280342953 0 1 4818016413/4818034126=4818266495/4818284208
NewParcel 4818745490 7.109463875766352,8.923435742635702 4.750391304976215,5.817097434104671 0 1 4818748235/4818762744=4818987453/4819001962
NewParcel 4819516806 2.496719355047178,8.462738954999521 1.7117725643130777,4.458665589070906 0 1 4819524426/4819529185=4819813106/4819817865
NewParcel 4820204173 1.3662833662879958,2.6426625467956297 3.3094336484692377,4.590553563449847 0 1 4820212535/4820215810=4820478486/4820481761
NewParcel 4820959345 5.514797989066231,9.371999692400921 9.109054174626534,2.5925153930452516 0 1 4820964357/4820974332=4821265738/4821275713
NewParcel 4821777593 2.520718889742146,3.531377375463075 4.551037316196101,4.419519270689266 0 1 4821780279/4821794906=4821994441/4822009068
NewParcel 4822490223 3.764497573324983,0.7573694464192315 5.611469088686047,7.05813262489073 0 1 4822490264/4822510181=4822715245/4822735162
NewParcel 4823294428 4.573396679680066,3.375657385303149 0.6756015966759776,1.3604705423052321 0 1 4823296406/4823312449=4823577142/4823593185
